"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2024","2206.50","2212.40","2246.60","2189.70","127.19K","1.10%"
"03/22/2024","2181.60","2204.70","2209.60","2180.20","88.19K","-1.13%"
"03/25/2024","2198.20","2188.50","2204.10","2186.10","124.95K","0.76%"
"03/26/2024","2199.20","2195.00","2222.60","2190.00","220.67K","0.05%"
"03/27/2024","2232.40","2218.60","2237.90","2213.90","4.26K","1.51%"
"03/28/2024","2258.40","2235.10","2276.80","2227.80","7.10K","1.16%"
"04/01/2024","2277.50","2280.10","2306.50","2269.60","7.76K","0.85%"
"04/02/2024","2302.40","2292.60","2322.10","2288.20","8.19K","1.09%"
"04/03/2024","2335.90","2321.70","2341.50","2306.80","6.51K","1.46%"
"04/04/2024","2329.40","2341.30","2345.90","2320.00","5.18K","-0.28%"
"04/05/2024","2366.60","2331.10","2370.90","2308.00","9.46K","1.60%"
"04/08/2024","2372.30","2370.10","2392.30","2343.00","8.96K","0.24%"
"04/09/2024","2383.90","2377.60","2405.70","2377.50","7.86K","0.49%"
"04/10/2024","2370.10","2393.00","2399.10","2359.20","8.96K","-0.58%"
"04/11/2024","2394.60","2371.80","2417.10","2365.00","17.34K","1.03%"
"04/12/2024","2396.30","2410.70","2471.30","2373.00","26.72K","0.07%"
"04/15/2024","2405.10","2392.10","2426.10","2362.30","10.43K","0.37%"
"04/16/2024","2430.00","2419.50","2436.70","2401.70","5.64K","1.04%"
"04/17/2024","2410.50","2420.40","2434.20","2393.70","7.59K","-0.80%"
"04/18/2024","2420.10","2403.10","2429.50","2401.10","6.87K","0.40%"
"04/19/2024","2436.10","2415.50","2455.50","2409.40","5.89K","0.66%"
"04/22/2024","2368.10","2425.40","2425.40","2359.90","11.21K","-2.79%"
"04/23/2024","2363.70","2364.00","2369.60","2326.00","10.44K","-0.19%"
"04/24/2024","2360.30","2357.00","2372.30","2346.50","6.80K","-0.14%"
"04/25/2024","2364.50","2352.10","2379.30","2338.80","10.21K","0.18%"
"04/26/2024","2369.30","2368.40","2385.90","2360.70","8.13K","0.20%"
"04/29/2024","2379.80","2369.70","2380.70","2353.50","9.15K","0.44%"
"04/30/2024","2324.70","2368.90","2368.90","2318.00","13.50K","-2.32%"
"05/01/2024","2332.90","2319.90","2360.70","2314.00","17.04K","0.35%"
"05/02/2024","2331.60","2351.70","2357.90","2316.50","21.42K","-0.06%"
"05/03/2024","2330.60","2335.20","2352.00","2308.70","28.12K","-0.04%"
"05/06/2024","2353.40","2335.10","2363.80","2322.70","23.92K","0.98%"
"05/07/2024","2346.60","2356.20","2360.90","2340.50","74.12K","-0.29%"
"05/08/2024","2344.80","2344.60","2351.50","2333.70","62.93K","-0.08%"
"05/09/2024","2362.70","2338.30","2376.20","2335.90","51.69K","0.76%"
"05/10/2024","2397.70","2375.70","2407.60","2375.20","77.27K","1.48%"
"05/13/2024","2365.70","2392.10","2393.20","2360.40","59.07K","-1.33%"
"05/14/2024","2382.50","2364.50","2387.60","2363.40","22.96K","0.71%"
"05/15/2024","2417.60","2385.20","2418.50","2379.80","28.97K","1.47%"
"05/16/2024","2408.30","2416.70","2425.20","2398.00","28.57K","-0.38%"
"05/17/2024","2440.40","2403.60","2450.10","2400.80","33.34K","1.33%"
"05/20/2024","2461.70","2445.70","2477.00","2434.40","46.93K","0.87%"
"05/21/2024","2449.10","2453.90","2461.20","2431.80","42.50K","-0.51%"
"05/22/2024","2415.70","2448.30","2453.30","2400.80","50.55K","-1.36%"
